UnitID,25rateFinal 
   1.00000,   0.06300
   2.00000,   0.11069
   3.00000,   0.09545
   4.00000,   0.13902
   5.00000,   0.11006
   6.00000,   0.08564
   7.00000,   0.12523
   8.00000,   0.08996
   9.00000,   0.14188
  10.00000,   0.11859
  11.00000,   0.10998
  12.00000,   0.10788
  13.00000,   0.11076
  14.00000,   0.08131
  15.00000,   0.11220
  16.00000,   0.11236
  17.00000,   0.10924
  18.00000,   0.09486
  19.00000,   0.08998
  20.00000,   0.13212
  21.00000,   0.10373
  22.00000,   0.08661
  23.00000,   0.10394
  24.00000,   0.10034
  25.00000,   0.11321
  26.00000,   0.12523
  27.00000,   0.10806
  28.00000,   0.11940
  29.00000,   0.09865
  30.00000,   0.07692
  31.00000,   0.07829
  32.00000,   0.09428
  33.00000,   0.10478
  34.00000,   0.13621
  35.00000,   0.08516
  36.00000,   0.09498
  37.00000,   0.09380
  38.00000,   0.10143
  39.00000,   0.10447
  40.00000,   0.08671
  41.00000,   0.13119
  42.00000,   0.07972
  43.00000,   0.09961
  44.00000,   0.08638
  45.00000,   0.10105
  46.00000,   0.09085
  47.00000,   0.08860
  48.00000,   0.11142
  49.00000,   0.08176
  50.00000,   0.12460
  51.00000,   0.11712
  52.00000,   0.12029
  53.00000,   0.09707
  60.00000,   0.12747
  61.00000,   0.09670
  62.00000,   0.08994
  63.00000,   0.10780
  64.00000,   0.10390
  65.00000,   0.09548
  66.00000,   0.07070
  67.00000,   0.11160
  68.00000,   0.10039
  69.00000,   0.11766
  70.00000,   0.10226
  71.00000,   0.11315
  72.00000,   0.09434
  73.00000,   0.14252
  74.00000,   0.13226
  75.00000,   0.10299
  76.00000,   0.11387
  77.00000,   0.08100
  78.00000,   0.11281
  79.00000,   0.09049
  80.00000,   0.14396
  81.00000,   0.11362
  82.00000,   0.11508
  83.00000,   0.12421
  84.00000,   0.10025
  85.00000,   0.11818
  86.00000,   0.09283
  87.00000,   0.13622
  88.00000,   0.11201
  89.00000,   0.09835
  90.00000,   0.09250
  91.00000,   0.11167
  92.00000,   0.07658
  93.00000,   0.13606
  94.00000,   0.11693
  95.00000,   0.09558
  96.00000,   0.13831
  97.00000,   0.10278
  98.00000,   0.11245
  99.00000,   0.10823
 100.00000,   0.10064
 101.00000,   0.12008
 102.00000,   0.09097
 103.00000,   0.09216
 104.00000,   0.11469
 105.00000,   0.09940
 107.00000,   0.11289
 108.00000,   0.11781
 111.00000,   0.11631
 112.00000,   0.09262
 113.00000,   0.09834
 114.00000,   0.11635
 115.00000,   0.09295
 116.00000,   0.09470
 117.00000,   0.11357
 118.00000,   0.11049
 119.00000,   0.09972
 120.00000,   0.10943
 201.00000,   0.08986
 202.00000,   0.09818
 203.00000,   0.09484
 204.00000,   0.10372
 205.00000,   0.09841
 206.00000,   0.11286
 207.00000,   0.12291
 208.00000,   0.09350
 209.00000,   0.07608
 210.00000,   0.13272
 211.00000,   0.09403
 212.00000,   0.10787
 213.00000,   0.08695
 214.00000,   0.08950
 215.00000,   0.08978
 216.00000,   0.12214
 217.00000,   0.10147
 218.00000,   0.09292
 219.00000,   0.14730
 220.00000,   0.12514
 221.00000,   0.14335
 222.00000,   0.11300
 223.00000,   0.14079
 224.00000,   0.09980
