UnitID,SRSD20rate 
   1.00000,   0.02574
   2.00000,   0.04860
   3.00000,   0.03145
   4.00000,   0.05953
   5.00000,   0.04928
   6.00000,   0.03814
   7.00000,   0.05730
   8.00000,   0.03974
   9.00000,   0.06165
  10.00000,   0.05327
  11.00000,   0.04947
  12.00000,   0.04834
  13.00000,   0.05184
  14.00000,   0.03715
  15.00000,   0.04831
  16.00000,   0.05182
  17.00000,   0.04528
  18.00000,   0.03995
  19.00000,   0.03705
  20.00000,   0.05241
  21.00000,   0.04729
  22.00000,   0.03752
  23.00000,   0.04513
  24.00000,   0.04490
  25.00000,   0.05130
  26.00000,   0.05333
  27.00000,   0.04217
  28.00000,   0.05214
  29.00000,   0.02833
  30.00000,   0.03457
  31.00000,   0.03424
  32.00000,   0.04039
  33.00000,   0.04779
  34.00000,   0.05499
  35.00000,   0.03635
  36.00000,   0.03827
  37.00000,   0.04225
  38.00000,   0.04076
  39.00000,   0.04376
  40.00000,   0.03402
  41.00000,   0.05717
  42.00000,   0.03265
  43.00000,   0.04356
  44.00000,   0.03555
  45.00000,   0.04181
  46.00000,   0.03947
  47.00000,   0.02940
  48.00000,   0.04971
  49.00000,   0.03637
  50.00000,   0.05241
  51.00000,   0.03587
  52.00000,   0.04413
  53.00000,   0.04260
  60.00000,   0.04864
  61.00000,   0.04261
  62.00000,   0.03889
  63.00000,   0.04991
  64.00000,   0.04600
  65.00000,   0.04391
  66.00000,   0.02920
  67.00000,   0.04728
  68.00000,   0.04212
  69.00000,   0.04092
  70.00000,   0.04437
  71.00000,   0.04807
  72.00000,   0.03798
  73.00000,   0.04797
  74.00000,   0.05027
  75.00000,   0.04251
  76.00000,   0.04320
  77.00000,   0.03070
  78.00000,   0.04854
  79.00000,   0.04014
  80.00000,   0.05774
  81.00000,   0.05001
  82.00000,   0.04920
  83.00000,   0.05534
  84.00000,   0.04289
  85.00000,   0.03698
  86.00000,   0.03450
  87.00000,   0.05104
  88.00000,   0.04713
  89.00000,   0.04426
  90.00000,   0.04221
  91.00000,   0.04603
  92.00000,   0.03209
  93.00000,   0.05613
  94.00000,   0.05065
  95.00000,   0.04296
  96.00000,   0.06341
  97.00000,   0.04200
  98.00000,   0.03877
  99.00000,   0.04952
 100.00000,   0.04381
 101.00000,   0.04758
 102.00000,   0.03848
 103.00000,   0.04031
 104.00000,   0.04948
 105.00000,   0.04480
 107.00000,   0.04363
 108.00000,   0.05477
 111.00000,   0.04572
 112.00000,   0.04071
 113.00000,   0.04160
 114.00000,   0.04803
 115.00000,   0.04331
 116.00000,   0.03932
 117.00000,   0.04985
 118.00000,   0.05139
 119.00000,   0.04545
 120.00000,   0.05020
 201.00000,   0.04063
 202.00000,   0.03833
 203.00000,   0.03860
 204.00000,   0.04050
 205.00000,   0.03874
 206.00000,   0.04478
 207.00000,   0.05313
 208.00000,   0.03787
 209.00000,   0.03252
 210.00000,   0.05066
 211.00000,   0.03782
 212.00000,   0.03873
 213.00000,   0.03888
 214.00000,   0.03429
 215.00000,   0.04031
 216.00000,   0.05589
 217.00000,   0.03424
 218.00000,   0.03005
 219.00000,   0.06147
 220.00000,   0.05145
 221.00000,   0.05685
 222.00000,   0.05170
 223.00000,   0.05753
 224.00000,   0.04013
