UnitID,15rateFinal 
   1.00000,   0.04776
   2.00000,   0.08082
   3.00000,   0.05844
   4.00000,   0.07364
   5.00000,   0.07731
   6.00000,   0.06358
   7.00000,   0.09266
   8.00000,   0.07617
   9.00000,   0.10982
  10.00000,   0.08115
  11.00000,   0.08355
  12.00000,   0.07953
  13.00000,   0.09349
  14.00000,   0.06554
  15.00000,   0.08150
  16.00000,   0.09170
  17.00000,   0.08539
  18.00000,   0.06568
  19.00000,   0.06506
  20.00000,   0.07460
  21.00000,   0.08373
  22.00000,   0.06642
  23.00000,   0.08255
  24.00000,   0.07028
  25.00000,   0.09263
  26.00000,   0.09280
  27.00000,   0.06957
  28.00000,   0.09299
  29.00000,   0.05161
  30.00000,   0.05954
  31.00000,   0.06481
  32.00000,   0.06338
  33.00000,   0.08132
  34.00000,   0.07961
  35.00000,   0.05843
  36.00000,   0.06979
  37.00000,   0.07983
  38.00000,   0.06686
  39.00000,   0.06817
  40.00000,   0.06015
  41.00000,   0.08958
  42.00000,   0.05366
  43.00000,   0.07003
  44.00000,   0.06163
  45.00000,   0.07479
  46.00000,   0.05654
  47.00000,   0.05228
  48.00000,   0.08261
  49.00000,   0.06658
  50.00000,   0.09011
  51.00000,   0.05887
  52.00000,   0.07702
  53.00000,   0.07385
  60.00000,   0.07084
  61.00000,   0.07212
  62.00000,   0.07130
  63.00000,   0.08291
  64.00000,   0.08659
  65.00000,   0.08322
  66.00000,   0.05479
  67.00000,   0.07896
  68.00000,   0.06581
  69.00000,   0.07276
  70.00000,   0.07542
  71.00000,   0.08345
  72.00000,   0.06337
  73.00000,   0.07503
  74.00000,   0.08311
  75.00000,   0.06061
  76.00000,   0.07754
  77.00000,   0.05722
  78.00000,   0.06596
  79.00000,   0.06389
  80.00000,   0.10270
  81.00000,   0.08052
  82.00000,   0.07353
  83.00000,   0.06365
  84.00000,   0.06474
  85.00000,   0.06958
  86.00000,   0.06195
  87.00000,   0.07706
  88.00000,   0.08572
  89.00000,   0.08393
  90.00000,   0.07036
  91.00000,   0.08464
  92.00000,   0.05253
  93.00000,   0.10225
  94.00000,   0.08260
  95.00000,   0.07990
  96.00000,   0.08763
  97.00000,   0.07765
  98.00000,   0.06859
  99.00000,   0.09058
 100.00000,   0.07548
 101.00000,   0.08790
 102.00000,   0.06932
 103.00000,   0.06340
 104.00000,   0.07906
 105.00000,   0.06604
 107.00000,   0.08117
 108.00000,   0.09143
 111.00000,   0.08198
 112.00000,   0.06356
 113.00000,   0.07787
 114.00000,   0.08398
 115.00000,   0.08282
 116.00000,   0.06726
 117.00000,   0.08761
 118.00000,   0.09751
 119.00000,   0.08152
 120.00000,   0.07747
 201.00000,   0.06955
 202.00000,   0.06274
 203.00000,   0.07165
 204.00000,   0.06979
 205.00000,   0.06034
 206.00000,   0.08269
 207.00000,   0.07312
 208.00000,   0.05970
 209.00000,   0.05641
 210.00000,   0.08534
 211.00000,   0.06674
 212.00000,   0.06983
 213.00000,   0.05613
 214.00000,   0.06438
 215.00000,   0.07130
 216.00000,   0.09017
 217.00000,   0.05649
 218.00000,   0.05529
 219.00000,   0.07832
 220.00000,   0.07094
 221.00000,   0.09150
 222.00000,   0.07216
 223.00000,   0.05879
 224.00000,   0.07387
