UnitID,20rateFinal 
   1.00000,   0.05148
   2.00000,   0.09720
   3.00000,   0.06289
   4.00000,   0.11906
   5.00000,   0.09856
   6.00000,   0.07629
   7.00000,   0.11461
   8.00000,   0.07948
   9.00000,   0.12330
  10.00000,   0.10654
  11.00000,   0.09895
  12.00000,   0.09668
  13.00000,   0.10368
  14.00000,   0.07429
  15.00000,   0.09663
  16.00000,   0.10364
  17.00000,   0.09055
  18.00000,   0.07990
  19.00000,   0.07411
  20.00000,   0.10482
  21.00000,   0.09457
  22.00000,   0.07504
  23.00000,   0.09027
  24.00000,   0.08981
  25.00000,   0.10260
  26.00000,   0.10666
  27.00000,   0.08433
  28.00000,   0.10429
  29.00000,   0.05666
  30.00000,   0.06915
  31.00000,   0.06848
  32.00000,   0.08079
  33.00000,   0.09558
  34.00000,   0.10999
  35.00000,   0.07271
  36.00000,   0.07655
  37.00000,   0.08450
  38.00000,   0.08153
  39.00000,   0.08753
  40.00000,   0.06805
  41.00000,   0.11435
  42.00000,   0.06531
  43.00000,   0.08712
  44.00000,   0.07109
  45.00000,   0.08362
  46.00000,   0.07894
  47.00000,   0.05881
  48.00000,   0.09943
  49.00000,   0.07273
  50.00000,   0.10482
  51.00000,   0.07173
  52.00000,   0.08825
  53.00000,   0.08520
  60.00000,   0.09729
  61.00000,   0.08523
  62.00000,   0.07777
  63.00000,   0.09981
  64.00000,   0.09201
  65.00000,   0.08783
  66.00000,   0.05840
  67.00000,   0.09455
  68.00000,   0.08423
  69.00000,   0.08184
  70.00000,   0.08875
  71.00000,   0.09614
  72.00000,   0.07597
  73.00000,   0.09594
  74.00000,   0.10054
  75.00000,   0.08503
  76.00000,   0.08640
  77.00000,   0.06140
  78.00000,   0.09707
  79.00000,   0.08027
  80.00000,   0.11548
  81.00000,   0.10002
  82.00000,   0.09839
  83.00000,   0.11068
  84.00000,   0.08577
  85.00000,   0.07396
  86.00000,   0.06900
  87.00000,   0.10208
  88.00000,   0.09426
  89.00000,   0.08852
  90.00000,   0.08441
  91.00000,   0.09205
  92.00000,   0.06419
  93.00000,   0.11226
  94.00000,   0.10131
  95.00000,   0.08593
  96.00000,   0.12682
  97.00000,   0.08400
  98.00000,   0.07755
  99.00000,   0.09904
 100.00000,   0.08762
 101.00000,   0.09517
 102.00000,   0.07695
 103.00000,   0.08062
 104.00000,   0.09897
 105.00000,   0.08960
 107.00000,   0.08725
 108.00000,   0.10954
 111.00000,   0.09145
 112.00000,   0.08141
 113.00000,   0.08319
 114.00000,   0.09605
 115.00000,   0.08662
 116.00000,   0.07864
 117.00000,   0.09969
 118.00000,   0.10278
 119.00000,   0.09090
 120.00000,   0.10040
 201.00000,   0.08126
 202.00000,   0.07666
 203.00000,   0.07719
 204.00000,   0.08100
 205.00000,   0.07747
 206.00000,   0.08956
 207.00000,   0.10626
 208.00000,   0.07573
 209.00000,   0.06504
 210.00000,   0.10131
 211.00000,   0.07565
 212.00000,   0.07747
 213.00000,   0.07776
 214.00000,   0.06858
 215.00000,   0.08062
 216.00000,   0.11178
 217.00000,   0.06849
 218.00000,   0.06010
 219.00000,   0.12294
 220.00000,   0.10291
 221.00000,   0.11370
 222.00000,   0.10341
 223.00000,   0.11506
 224.00000,   0.08026
