;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions and Ethiopian woredas
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
34,52937,-6.15914,0.793430,29.3066,6.06636,12.4685,3.11865,-6.98038,1.02878,-1.91434,-11.7755,-6.32207,25.0301,7.36219,-6.95535,5.54781,-0.829021,-17.7473,-6.17156,4.40153,-11.4568,-19.9636,13.6789,3.48896,-7.15353,-2.44723,-8.79582
35,16421,-10.4635,-9.30243,9.62020,8.93437,25.7678,12.7251,10.3851,8.06971,-2.26495,-14.4704,-13.2843,13.9473,16.1550,2.13161,-9.77981,-1.39617,-24.6356,-6.30682,7.60216,-19.2904,-9.10214,7.79488,4.67744,-0.830387,3.80926,-5.02043
36,62688,-12.3471,-7.68934,4.49964,-1.01443,12.1021,-2.21115,0.662949,10.8868,3.00614,-13.3387,-8.65001,25.0753,17.3065,0.222872,0.856037,-3.01052,-14.6162,-0.171539,16.1833,-11.0196,-19.0034,17.1311,10.9828,1.64057,15.0602,4.73406
37,19834,-10.1050,-6.48386,0.512001,-1.33496,9.13450,2.41372,4.48854,9.82305,7.13064,-10.4475,-3.74955,23.9218,13.7489,-0.453044,0.916799,-2.44624,-8.85927,-2.80093,8.99857,-12.4826,-22.2162,12.2723,16.0421,-0.877683,17.5422,3.52283
38,1444,-19.2971,-14.9119,-1.60192,3.41002,7.10133,-9.10086,-5.03386,11.4548,6.70324,-13.4202,-1.57401,18.7064,0.407352,-2.11779,-7.73024,-2.73416,-13.7075,8.67767,38.8279,-3.32961,-4.09510,23.1583,19.1107,-5.70439,14.3027,4.90149
39,8783,-13.3653,-7.94885,0.328881,-1.44927,-3.64303,-2.68085,-5.08353,11.4350,6.70503,-11.6420,-2.38353,27.5812,20.0750,-0.111423,5.78816,-7.13431,-15.7290,0.338169,21.5674,-12.6556,-14.2602,19.5717,9.55294,9.98380,31.2964,0.200173
40,26421,-20.0107,-9.67797,-1.89724,-2.53941,5.54768,-6.14906,-0.347690,11.1041,1.56068,-14.7415,-6.98079,23.5110,20.9366,-4.73399,-2.36875,3.83249,-11.2405,2.94926,29.8033,-5.97483,-15.0027,17.3745,5.51698,-2.07625,26.3036,4.16605
41,2064,-16.1325,-11.5610,0.947653,2.80316,19.5156,2.73631,1.70583,18.7209,7.47085,-13.6205,-4.34524,13.9209,10.9043,-0.428086,-1.56061,-10.1712,-23.3539,2.30319,20.8210,-6.46451,-15.9731,17.7996,9.33778,-4.04443,19.4885,4.97637
42,9293,-22.3438,-10.7872,-4.21506,0.335623,10.9775,-3.57986,-0.612532,13.6846,2.42076,-15.4075,-4.06210,22.5942,18.4569,-7.06485,-2.97439,1.90737,-15.6627,5.10169,28.9743,-7.69810,-10.9589,14.8965,7.53444,-2.17413,29.7760,5.57760
43,26499,-11.9752,-8.01697,1.85777,2.33435,12.5400,-1.63885,0.389959,9.31904,0.310187,-14.5556,-4.32176,25.8931,19.9992,0.175669,-0.380251,-0.835081,-10.7565,-0.785586,10.2321,-13.2002,-17.8954,13.2510,20.1004,2.93009,15.1014,3.38838
44,24004,-8.30329,-6.19741,7.85444,-0.353315,4.47177,-2.87638,-2.12083,5.31753,-2.35927,-14.7788,-2.36140,27.9114,21.6248,0.622152,-0.574584,0.0728158,-7.14355,-0.131074,9.98923,-10.4111,-21.0773,10.5690,2.35767,-3.89073,16.6036,-1.13467
45,16926,-18.3680,-12.1267,-2.00730,1.57120,12.3572,-0.0792539,3.57683,18.0250,8.64414,-13.9695,-6.71631,18.7077,13.8363,-5.57925,-2.95600,-3.25858,-19.3082,1.33746,25.3893,-6.62197,-14.4478,15.7561,9.33266,-0.738347,18.4221,7.18602
46,14803,-16.8511,-7.62558,2.37168,0.823736,-1.20536,-7.18345,-4.83558,12.3884,3.83207,-12.3324,-4.24174,25.8049,20.2602,-0.871255,1.38947,-5.50605,-15.3089,-0.422711,23.4123,-9.21984,-8.82293,24.2822,16.2076,9.75681,42.0384,4.53565
47,13289,-14.8702,-3.65142,4.74422,-3.31789,2.17468,-6.99862,0.580151,11.6420,3.20225,-13.4969,-10.0407,23.5002,22.3154,-1.91547,0.885653,0.141420,-16.8880,-0.212704,22.7473,-7.83627,-14.8508,17.6812,6.65236,0.143081,17.1484,8.19840
48,34635,-4.97532,-9.46819,3.44942,-0.462893,12.0717,0.336628,-9.20776,9.71908,-7.48979,-13.7435,0.604283,24.8974,10.5563,4.74808,12.5500,-8.35385,-11.4848,1.01741,8.63361,-12.5862,-14.7076,20.5089,10.6009,6.30065,22.4891,-2.76913
49,26077,-11.0420,-6.17845,5.43188,2.10836,8.74574,-5.59237,-7.77268,10.7926,-7.70125,-13.8206,-0.423056,26.1235,18.2673,3.41278,3.04451,-7.08882,-13.9087,-2.64742,19.1401,-11.2052,-13.7819,24.5830,19.1661,9.90187,37.3899,0.129030
