UnitID,SRSD25indem 
   1.00000,   0.00000
   2.00000,   0.00000
   3.00000,   0.00000
   4.00000,   0.00000
   5.00000,   0.00000
   6.00000,   0.00000
   7.00000,   0.00000
   8.00000,   0.00000
   9.00000,   0.00000
  10.00000,   0.00000
  11.00000,   0.00000
  12.00000,   0.00000
  13.00000,   0.00000
  14.00000,   0.00000
  15.00000,   0.00000
  16.00000,   0.28929
  17.00000,   0.25942
  18.00000,   0.00000
  19.00000,   0.16547
  20.00000,   0.00000
  21.00000,   0.32368
  22.00000,   0.05000
  23.00000,   0.22811
  24.00000,   0.00000
  25.00000,   0.05000
  26.00000,   0.00000
  27.00000,   0.08521
  28.00000,   0.00000
  29.00000,   0.12277
  30.00000,   0.08100
  31.00000,   0.06870
  32.00000,   0.10143
  33.00000,   0.05000
  34.00000,   0.34256
  35.00000,   0.00000
  36.00000,   0.00000
  37.00000,   0.00000
  38.00000,   0.00000
  39.00000,   0.00000
  40.00000,   0.00000
  41.00000,   0.00000
  42.00000,   0.00000
  43.00000,   0.00000
  44.00000,   0.00000
  45.00000,   0.00000
  46.00000,   0.00000
  47.00000,   0.00000
  48.00000,   0.00000
  49.00000,   0.00000
  50.00000,   0.00000
  51.00000,   0.00000
  52.00000,   0.00000
  53.00000,   0.00000
  60.00000,   0.00000
  61.00000,   0.00000
  62.00000,   0.00000
  63.00000,   0.00000
  64.00000,   0.00000
  65.00000,   0.00000
  66.00000,   0.00000
  67.00000,   0.00000
  68.00000,   0.00000
  69.00000,   0.00000
  70.00000,   0.00000
  71.00000,   0.05202
  72.00000,   0.11359
  73.00000,   0.16744
  74.00000,   0.26528
  75.00000,   0.50000
  76.00000,   0.05000
  77.00000,   0.00000
  78.00000,   0.00000
  79.00000,   0.00000
  80.00000,   0.00000
  81.00000,   0.11323
  82.00000,   0.00000
  83.00000,   0.00000
  84.00000,   0.00000
  85.00000,   0.00000
  86.00000,   0.05000
  87.00000,   0.00000
  88.00000,   0.00000
  89.00000,   0.00000
  90.00000,   0.00000
  91.00000,   0.00000
  92.00000,   0.00000
  93.00000,   0.00000
  94.00000,   0.00000
  95.00000,   0.00000
  96.00000,   0.34158
  97.00000,   0.00000
  98.00000,   0.11302
  99.00000,   0.30963
 100.00000,   0.00000
 101.00000,   0.12272
 102.00000,   0.00000
 103.00000,   0.00000
 104.00000,   0.00000
 105.00000,   0.05000
 107.00000,   0.21047
 108.00000,   0.19623
 111.00000,   0.00000
 112.00000,   0.00000
 113.00000,   0.00000
 114.00000,   0.21879
 115.00000,   0.05000
 116.00000,   0.05000
 117.00000,   0.10227
 118.00000,   0.00000
 119.00000,   0.07861
 120.00000,   0.22770
 201.00000,   0.00000
 202.00000,   0.00000
 203.00000,   0.00000
 204.00000,   0.00000
 205.00000,   0.00000
 206.00000,   0.00000
 207.00000,   0.00000
 208.00000,   0.00000
 209.00000,   0.00000
 210.00000,   0.00000
 211.00000,   0.00000
 212.00000,   0.00000
 213.00000,   0.00000
 214.00000,   0.00000
 215.00000,   0.00000
 216.00000,   0.05000
 217.00000,   0.00000
 218.00000,   0.00000
 219.00000,   0.00000
 220.00000,   0.00000
 221.00000,   0.00000
 222.00000,   0.00000
 223.00000,   0.00000
 224.00000,   0.00000
