adminID, pixels,1981S,1982L,1982S,1983L,1983S,1984L,1984S,1985L,1985S,1986L,1986S,1987L,1987S,1988L,1988S,1989L,1989S,1990L,1990S,1991L,1991S,1992L,1992S,1993L,1993S,1994L,1994S,1995L,1995S,1996L,1996S,1997L,1997S,1998L,1998S,1999L,1999S,2000L,2000S,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L
108,4616,1.77512,-0.232700,17.2054,-5.04139,1.15983,-6.61579,7.32008,0.718771,0.322140,1.23748,7.98239,-3.74906,0.824605,0.118162,0.829167,-2.85967,4.48123,13.4446,7.15087,-5.01593,1.54561,-5.92261,13.7511,-1.21549,3.44638,-6.28484,13.5969,-1.67885,2.55726,-5.17410,1.40330,16.0446,62.3448,39.2923,7.14451,-0.180112,5.77895,-5.29744,-2.23978,8.30486,3.80589,16.5666,0.0658126,10.6668,2.18301,0.827460,-1.21269,-3.87434,-7.83022,-0.169713,12.2072,-0.443135,-5.15237,4.48557,-2.97021,-13.5755,-2.67250,-5.46229,-10.2391,-17.3264
111,1712,14.2751,17.7321,18.3896,14.4638,-3.39797,-3.98278,8.90867,17.0948,3.56987,4.83165,4.03635,14.6006,-1.54413,15.2138,6.40830,10.5301,3.42197,24.1224,8.00871,3.00024,-3.17851,3.03106,6.20987,12.7948,-0.730329,-0.332105,6.24779,15.6845,1.81542,0.109703,-7.74598,13.9398,28.7522,29.7513,11.7244,8.29046,4.73559,-2.43932,-5.03364,7.81261,6.10887,12.0241,2.29565,7.26166,-1.59580,8.11429,1.25210,0.643426,-7.86383,4.17035,9.37362,0.565096,-1.28339,-2.46148,3.70141,-14.2951,-1.22324,-2.98993,-11.7457,-20.8450
112,723,6.70473,22.3039,17.5761,10.8493,-7.23901,-5.93472,8.95561,18.4244,-3.24451,5.32353,2.42907,14.8921,-6.03082,11.4872,2.39155,14.3860,4.41083,26.1472,4.96135,-1.50726,-3.76442,3.99336,5.79910,15.9621,-0.642880,2.01664,9.26554,16.7203,-1.75265,-3.83337,-5.87524,12.7566,27.5247,37.0886,4.25972,3.31373,5.16262,-1.57529,-8.52114,10.1936,7.65634,14.3512,3.46675,7.48944,-1.68442,7.03529,2.64158,-1.13127,-8.89059,4.58413,10.7721,-0.968629,-1.28692,2.41223,2.17452,-14.8024,-5.42417,-7.33082,-13.8735,-21.8327
113,10222,2.34058,0.489014,13.0598,6.41799,1.74229,-5.08822,12.8116,10.7958,2.92186,-1.65468,5.69270,1.16023,1.30056,8.77064,3.77083,4.71206,11.0427,20.2785,9.88166,-2.12582,2.27527,-2.16810,12.1661,2.44105,4.79753,-1.96546,17.8641,3.89590,1.95045,-3.17727,2.56242,11.7664,38.8786,36.8421,9.24774,1.66896,4.88712,-3.16298,-0.662850,9.27791,6.21746,12.3079,3.77834,10.0135,-0.733209,1.47755,-0.00497451,-1.43934,-9.25143,-1.99023,11.0938,3.61137,-2.87463,-0.647983,-2.63886,-15.1349,-4.60118,0.836182,-9.54186,-18.3120
114,2974,3.49386,6.96182,26.8012,19.8459,2.97059,-2.75291,14.2023,14.6472,2.98002,17.4776,9.71025,28.5634,7.75919,21.0084,6.69331,8.88754,7.33454,14.1671,1.61007,-2.30133,-2.04449,-2.38753,1.17655,7.45830,-2.97276,1.55906,4.03537,-0.932732,-0.898517,1.44001,0.0300435,17.5905,22.6071,25.0683,12.7560,9.62419,4.27614,-3.67910,-0.964988,3.65687,-3.57989,3.65257,0.876633,5.35045,-0.717774,0.537192,0.0999857,1.08016,-1.45196,0.576489,3.03454,-0.576603,-0.364134,-1.59035,3.18216,-5.99691,-2.18810,-4.97692,-6.53387,-1.71296
115,3075,2.37079,4.95501,14.5254,9.61124,-0.735642,-8.30572,9.72138,9.94019,-1.35425,2.99308,0.866265,12.0783,1.78751,9.02868,1.12125,8.83728,5.68607,11.1910,2.79219,-3.32312,-0.665930,-3.51544,5.26096,4.58096,0.157612,-1.32149,14.6211,3.50056,-1.33314,5.44258,0.234833,18.5481,25.2430,20.2604,3.50659,3.70570,1.63666,-8.18504,1.80355,11.5739,-0.555727,7.26857,3.55291,5.65026,-1.36357,1.83311,-0.714255,-4.14392,-10.1998,4.31547,9.61086,4.01662,-1.68159,-0.510406,4.39064,-14.6581,-1.65628,2.84896,-10.6806,-18.1944
116,7489,6.32323,5.01692,11.4784,10.8938,4.51645,0.219902,14.1168,8.58097,4.06493,2.43323,4.13689,7.60360,3.49043,6.64022,4.18004,8.80086,6.82891,14.2025,7.07458,3.66255,3.77672,0.537742,12.3748,7.91668,5.23320,0.479411,17.8289,7.25617,3.55584,3.07191,3.48568,16.9141,37.8175,32.8620,10.4620,7.41856,6.10474,1.49447,2.91900,10.5925,3.49343,8.20314,4.17211,4.06549,-0.777326,5.14886,-1.97651,-3.54508,-8.93477,-0.114407,7.94060,1.42705,-0.0508120,-0.463612,1.19480,-12.5894,-4.36407,5.35960,-8.87919,-18.0841
117,11481,5.09443,7.12025,16.0424,4.23269,3.14464,-3.89412,7.27903,17.1922,5.51162,9.66620,10.3126,16.0706,5.32460,13.1275,4.43999,12.2242,9.84447,17.0345,6.98435,-2.20284,2.51158,-1.46930,8.60195,9.38282,2.91597,0.307665,15.8469,8.82999,3.41299,1.06082,4.63742,9.99957,47.1275,29.8570,10.1952,7.47971,6.31860,-2.45024,1.36544,12.0905,-0.155776,10.8807,5.00185,10.6552,0.0366964,-2.64961,1.87975,-3.80109,-7.68377,-0.794599,3.77334,-0.707492,-5.66690,-1.33572,2.99922,-11.3006,-2.02262,-0.693191,-7.68719,-12.3441
118,12617,4.13898,6.08196,17.7985,1.86966,0.828472,-5.73617,8.46600,17.5354,2.46292,1.78293,9.26364,14.3351,1.91976,7.39522,2.79407,6.29786,8.62344,19.2894,7.76417,-7.62378,1.66863,1.95692,11.2623,3.21881,2.34281,-3.27127,14.3700,9.49534,2.88052,-3.14769,2.13529,14.8604,47.3578,32.2758,6.43390,1.59643,6.29337,-4.36629,-1.91878,16.6601,4.91891,14.8464,5.92055,7.84588,0.0611555,0.962340,-0.932020,-3.87416,-9.50753,-0.00237522,10.1711,-0.936579,-2.50002,1.75608,2.16770,-13.3915,-6.76248,-5.83280,-10.9901,-18.0335
119,12618,1.00284,0.730755,12.2770,0.791986,-0.531320,-3.63046,4.88282,6.03659,0.621199,11.1126,4.01180,11.5216,1.41623,6.05323,1.93222,7.08191,5.27913,7.16497,3.30672,1.38562,-0.218242,-2.88978,3.70064,5.69681,-0.144366,0.278045,6.18625,1.45241,1.40781,2.51200,0.456273,9.22023,25.0397,18.6923,2.55949,3.96223,2.22066,-4.97620,-0.375972,3.66823,-0.373906,7.72368,6.86141,12.0713,1.53273,-1.14045,0.0289278,-3.38894,-9.73650,-1.96501,7.07423,7.90461,-4.90582,-2.48201,3.21881,-12.2469,-0.880158,6.55843,-9.74598,-16.7029
