;percentile of cummulated Z-scored aggregated data for eMODIS of Kenyan divisions
IBLI_UNIT_ID ,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S,2014L
61,5,2,5,4,5,3,4,5,2,2,5,5,5,3,4,3,1,3,4,1,1,5,2,4,5,4,4
62,5,3,5,5,5,4,4,4,2,1,3,5,5,3,4,5,2,3,4,1,1,5,2,2,5,4,4
63,5,2,5,5,5,3,3,4,2,1,5,5,5,3,4,4,2,3,4,1,1,5,2,4,5,4,5
64,2,2,4,3,5,3,4,4,4,1,3,5,5,4,2,4,1,3,5,1,2,5,5,5,5,5,2
65,2,2,5,5,5,4,4,5,5,2,3,5,5,5,4,4,1,3,5,1,1,4,2,4,3,3,3
66,2,2,5,4,5,4,5,5,4,2,2,5,5,5,3,4,1,3,5,1,1,5,4,4,3,3,2
67,3,2,5,4,5,3,4,4,2,2,3,5,5,4,2,5,1,3,5,1,1,5,5,4,5,4,3
68,2,2,4,2,5,4,4,4,3,1,2,5,5,5,3,4,1,3,5,1,3,5,5,5,5,4,2
69,3,3,3,2,4,4,4,4,4,1,2,5,5,5,3,4,1,2,5,1,2,5,5,5,5,5,1
70,5,5,3,5,5,4,4,4,4,1,2,5,5,5,5,2,1,3,5,2,1,4,2,3,3,4,5
71,3,5,5,5,5,5,4,5,3,1,2,5,5,4,4,2,2,4,5,1,1,4,3,3,4,2,3
72,4,5,5,5,5,4,3,4,2,1,2,5,4,5,5,3,1,4,5,2,1,4,2,3,5,3,3
73,2,4,5,5,5,4,4,3,1,2,1,5,5,4,5,3,2,4,5,2,1,5,4,3,5,3,4
74,3,4,5,5,5,5,5,4,3,1,3,5,4,4,4,2,1,4,5,2,1,5,2,3,5,2,4
75,4,3,4,5,5,4,5,4,3,2,4,5,5,5,5,2,3,4,5,2,1,5,1,2,3,1,3
76,5,3,3,5,5,4,4,5,4,2,4,5,5,5,5,2,2,4,5,1,1,3,1,3,4,2,3
77,3,3,4,5,5,4,5,5,4,2,2,5,5,5,5,2,1,4,5,2,1,4,1,3,4,3,5
78,2,3,4,4,5,3,1,4,5,2,3,5,5,4,1,4,1,3,5,2,2,5,5,5,5,4,5
79,1,1,4,4,5,4,4,5,5,2,3,5,5,3,2,3,1,3,5,2,2,5,5,4,5,4,4
80,2,1,5,4,5,4,3,4,2,1,3,3,5,5,2,5,1,4,5,3,2,5,5,4,5,4,4
81,1,3,4,4,5,3,3,4,5,2,2,5,5,4,2,4,1,4,5,2,1,5,5,5,5,3,4
82,1,3,4,4,4,3,1,4,5,2,2,5,5,4,2,5,1,3,5,2,3,5,5,5,5,4,4
83,3,3,2,3,4,2,3,4,4,2,1,5,5,4,2,5,1,4,5,1,5,5,5,5,5,4,1
84,1,1,4,3,4,3,2,4,4,2,2,5,5,5,2,5,1,4,5,3,3,5,5,5,5,4,3
85,2,1,4,3,4,3,4,3,2,1,2,5,5,4,2,5,1,4,5,3,4,5,5,5,5,5,4
86,1,1,2,4,5,3,2,4,5,2,4,5,5,4,3,4,2,4,5,3,1,5,5,5,5,3,5
87,3,4,4,5,4,1,1,3,5,1,2,5,5,4,3,4,2,3,5,2,2,5,5,5,5,4,4
88,2,3,3,3,4,2,1,4,4,2,1,5,5,4,3,5,1,4,5,2,4,5,5,5,5,5,3
89,1,2,4,5,5,4,2,5,5,2,3,5,5,4,2,3,1,4,5,3,1,5,5,4,4,3,3
90,1,1,4,4,4,2,3,3,2,2,3,5,5,5,4,5,1,5,5,2,3,5,5,4,5,4,2
91,2,4,4,5,4,3,2,2,4,1,3,5,5,5,3,4,1,4,5,2,1,5,5,5,5,3,3
92,1,1,5,4,5,4,4,5,3,2,2,5,5,4,2,3,1,3,5,3,2,5,5,4,5,4,2
93,4,3,1,2,4,2,2,3,3,2,1,5,5,4,4,5,1,4,5,3,4,5,5,5,5,5,4
94,4,1,2,3,4,2,3,4,2,2,1,5,5,5,3,5,1,4,5,3,4,5,5,4,5,5,4
95,4,2,5,4,5,2,3,5,2,2,4,5,5,4,5,3,1,3,3,1,1,5,5,4,5,4,4
