;Aggregated and intercalibrated zCumNDVI data for eMODIS: extended by GIMMS for 1981S*-2000S*  of Kenyan divisions and Ethiopian clustered kebeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adminID, pixels, L+S_R2cv, L+S_R2cv_within, L+S_gain, L+S_offset, 1981S*, 1982L*, 1982S*, 1983L*, 1983S*, 1984L*, 1984S*, 1985L*, 1985S*, 1986L*, 1986S*, 1987L*, 1987S*, 1988L*, 1988S*, 1989L*, 1989S*, 1990L*, 1990S*, 1991L*, 1991S*, 1992L*, 1992S*, 1993L*, 1993S*, 1994L*, 1994S*, 1995L*, 1995S*, 1996L*, 1996S*, 1997L*, 1997S*, 1998L*, 1998S*, 1999L*, 1999S*, 2000L*, 2000S*, 2001L, 2001S, 2002L, 2002S, 2003L, 2003S, 2004L, 2004S, 2005L, 2005S, 2006L, 2006S, 2007L, 2007S, 2008L, 2008S, 2009L, 2009S, 2010L, 2010S, 2011L, 2011S, 2012L, 2012S, 2013L, 2013S
11,14326,0.712271,0.763074,1.4049,0.021397,-4.03668,-12.0502,11.1195,-15.5103,1.83084,-50.053,-2.67733,-2.78349,-4.71852,0.733421,-3.07311,-1.69231,-0.475669,2.74496,3.99478,-2.78823,4.81832,-15.4388,-3.14262,-23.048,-2.74364,-20.7707,1.42055,-15.86,-7.89476,-6.89258,-0.0941347,-14.4279,-3.74171,-9.35003,-1.76382,10.3016,22.5965,-5.69288,2.11154,-8.57347,-5.71374,-34.0938,-4.35735,-0.660315,-1.78975,-6.52389,-9.42509,4.34764,-1.36301,1.21618,1.24041,-0.111251,-10.0302,-8.2193,13.8907,17.3021,2.6251,-9.31414,3.51226,-27.4107,-4.22304,23.0418,-6.18758,6.33188,20.9949,18.0459,8.42349,23.13,10.5819
12,6442,0.822269,0.853536,1.31356,0.0482276,-7.959,-4.11352,6.18888,-10.079,0.33299,-44.753,-1.0477,2.71315,-9.3957,3.10399,-7.02965,2.66162,-0.800029,3.19328,1.31092,1.69587,2.61312,-6.77771,-3.92109,-18.8936,-12.4855,-21.2547,-2.40337,-8.84561,-8.45203,-1.85527,4.6379,-12.4516,-5.95133,-2.18651,-6.26544,15.1827,19.3338,2.40679,2.17862,-3.17128,-7.12143,-23.6992,-6.75069,1.74337,2.07855,-2.76477,-9.10964,5.37723,-3.30169,3.20402,1.00565,-1.13597,-12.0581,-15.0554,9.98803,17.2667,7.289,-8.04953,6.75651,-31.1661,-2.39005,24.4022,-6.39341,6.1782,16.0537,15.6887,9.25292,25.8734,14.8218
13,2512,0.70973,0.756786,1.28964,0.273392,3.31679,6.94389,10.543,-1.39928,6.55354,-28.187,-2.90108,4.67005,-3.34779,-0.870991,-4.76535,0.316362,-5.06941,-8.07906,10.3698,10.3485,18.9394,8.91745,2.93102,-8.36222,-4.63264,-10.1969,13.6847,-2.70876,-13.5526,-4.58855,14.9737,6.66522,4.04386,-3.05136,6.81107,14.5179,15.4514,9.74905,4.32776,-2.22434,-9.72263,-42.4003,-4.80437,1.84565,1.06407,-3.28239,-6.38656,7.16058,-2.7183,4.23696,2.83909,2.17232,-9.59639,-4.27151,12.3405,14.9708,6.41971,0.834156,3.17665,-30.7763,-12.9596,19.4021,-1.0516,-12.2924,9.53035,3.39383,11.8819,10.5575,8.24722
14,3193,0.84728,0.872739,1.47323,0.290466,-0.0452006,9.54259,8.34432,0.576554,2.82659,-36.3768,-6.41513,11.5234,-8.21797,12.0327,-5.54861,7.17981,-6.64001,4.7772,8.951,18.8732,18.2705,15.5592,0.10841,1.47392,-6.61315,-6.60008,9.62479,5.97864,-15.304,6.70687,24.2145,6.53119,-0.910819,-1.04266,3.90838,24.14,15.3806,18.9754,3.99577,-6.11781,-13.1543,-43.948,-7.15858,-1.73767,1.44797,-2.38184,-6.61303,9.59674,-3.80937,2.8203,-2.89482,4.11236,-8.80457,-9.92507,11.3156,15.2222,8.26893,-0.234986,3.95822,-30.3401,-7.59089,22.0964,-2.42521,-9.22834,11.3482,5.64511,11.1523,14.1302,8.96649
15,23951,0.607445,0.666455,1.29149,0.433084,-6.2716,2.22324,-0.220424,0.479138,-8.4558,-10.7108,9.20818,18.9342,-12.1539,21.3273,8.39008,7.08776,-11.326,-0.950515,-2.09718,4.94423,2.62277,19.3941,9.39785,2.14774,-6.50848,0.25635,6.2514,3.00944,-3.74126,-8.81032,6.04228,10.9783,-2.89383,-1.43098,-4.68921,20.9808,36.532,44.1658,-2.61714,13.807,10.8276,-1.21031,-8.41067,-3.36837,11.1353,24.7691,6.37696,10.4625,4.43696,-7.3956,0.250171,-8.31757,-14.4999,-13.57,13.8431,3.63399,-0.384453,10.7773,-3.10557,-5.19203,-2.74782,10.435,-16.8324,-22.2345,7.7307,-6.41941,-6.56696,3.18156,0.580982
16,11900,0.710521,0.755176,1.202,0.45368,-0.000299782,13.8911,5.67972,-0.332906,1.33313,-2.82856,20.1676,11.4208,-3.45723,5.46368,18.5393,4.37524,-1.84981,1.50716,5.85755,2.80127,10.3479,19.2451,10.3448,9.63155,3.6935,2.70279,22.7775,12.6855,6.88159,-0.61952,17.3716,11.9069,2.49215,0.85964,1.64939,26.3967,58.2202,44.4654,6.60235,7.55516,11.5657,0.999049,-2.49836,0.00119103,-1.60979,13.7707,14.2492,28.7983,8.00714,1.36877,6.61164,-3.32282,-13.8709,-8.49708,20.7697,0.552558,-3.45529,8.57808,-3.48954,-15.1523,-8.16682,0.458829,-13.8245,-26.5562,0.00862285,-17.2991,-5.64398,-0.37854,-9.28001
17,72727,0.849334,0.872506,1.27602,0.293024,-5.69243,1.7187,3.19896,0.593014,-7.86399,-12.2005,-1.90241,1.04613,-7.75856,0.736344,-2.67921,12.0656,-8.24065,2.41825,-4.74345,-0.756894,5.23243,14.9983,0.620115,2.33033,-11.88,-7.12437,4.44938,0.945874,-1.94762,-0.393711,1.34264,-0.148711,-3.51345,-5.83408,-5.87382,10.7553,25.1419,37.2321,1.28928,8.69826,10.4636,7.16333,3.18211,-1.00654,0.796665,12.289,5.42227,4.00319,1.509,2.00652,-5.67771,-8.62862,-13.1362,-9.60599,15.2006,7.74237,13.1692,11.2836,-5.19652,-10.1855,0.406725,9.94281,-15.2788,-17.8408,7.23355,-13.6386,-7.06448,0.0938773,-11.04
18,9913,0.795251,0.828391,1.38607,0.496119,-10.0419,-2.82989,8.58553,-4.67938,-7.65009,-10.9148,9.02933,-2.87909,-9.92799,-5.74727,1.02058,-4.25795,-8.73321,-0.763461,-3.31148,2.14578,7.8549,19.7884,4.51023,-2.89744,-9.32528,-8.11332,7.15838,-6.63133,1.69225,-2.93544,4.76347,13.1037,-0.332274,-3.07912,-4.98248,6.43659,36.6123,38.8727,7.48798,3.30348,11.1008,9.15023,-4.12263,-1.76195,0.71267,11.2745,8.73175,15.4703,1.17765,-7.23321,-8.07268,-15.6286,-14.9117,-17.9456,14.1191,12.6685,7.79534,10.9901,-3.72333,-12.2165,2.32763,19.9115,-13.5651,-15.5292,11.4033,-10.46,-9.60239,-0.1854,-7.38103
19,50071,0.607695,0.670619,1.17849,0.251753,-5.57748,13.5243,2.59365,2.3991,-4.52877,-4.7111,9.73748,11.8134,-7.71776,15.529,3.64394,0.829459,-6.12759,11.547,1.99545,4.92221,1.47359,17.6664,2.55728,4.64803,-4.13647,2.615,7.59331,6.1922,-1.40605,0.0122897,5.83672,9.6263,-3.75491,-0.820631,-3.05081,24.3824,29.4057,51.9384,-0.118912,6.56996,8.16641,1.03024,-5.90219,-8.42427,0.653958,21.0627,3.33781,6.00395,3.66445,1.50637,-1.69512,-10.0052,-11.528,-5.93528,25.0732,15.7989,-2.65355,3.64278,-7.04813,-11.9257,3.94735,7.0186,-13.8706,-18.7428,11.0379,3.17136,-6.19342,13.5648,-8.07977
20,20852,0.741051,0.783664,1.47226,0.605025,-6.54562,-2.10686,2.34795,-1.53401,-9.0188,-13.6471,9.75147,11.4681,-13.2238,14.9693,9.14839,-4.25865,-11.7389,0.298933,-5.59013,-0.961283,4.26838,21.7461,6.57424,-0.456663,-11.3901,-8.54341,12.525,-7.30583,-1.47893,-10.0107,3.77682,16.0303,-4.35182,-9.36806,-7.47692,8.33573,37.5434,49.6947,-0.624278,5.03301,13.4609,-0.134201,-11.2205,-13.8888,8.50192,22.295,4.57686,7.52055,5.97566,2.75093,-3.64307,-14.0003,-14.043,-15.0335,13.0742,12.0476,4.84555,9.6107,-6.46841,-7.06342,3.28372,12.4317,-15.2146,-16.6705,5.24671,-11.4463,-9.58696,-7.28197,-6.09904
