;Aggregated and intercalibrated zCumNDVI data for eMODIS: extended by GIMMS for 1981S*-2000S* for Kenyan divisions
adminID, pixels, L+S_R2cv, L+S_R2cv_within, L+S_gain, L+S_offset, 1981S*, 1982L*, 1982S*, 1983L*, 1983S*, 1984L*, 1984S*, 1985L*, 1985S*, 1986L*, 1986S*, 1987L*, 1987S*, 1988L*, 1988S*, 1989L*, 1989S*, 1990L*, 1990S*, 1991L*, 1991S*, 1992L*, 1992S*, 1993L*, 1993S*, 1994L*, 1994S*, 1995L*, 1995S*, 1996L*, 1996S*, 1997L*, 1997S*, 1998L*, 1998S*, 1999L*, 1999S*, 2000L*, 2000S*, 2001L, 2001S, 2002L, 2002S, 2003L, 2003S, 2004L, 2004S, 2005L, 2005S, 2006L, 2006S, 2007L, 2007S, 2008L, 2008S, 2009L, 2009S, 2010L, 2010S, 2011L, 2011S, 2012L, 2012S
29,31509,0.831247, 0.856618, 1.25978, 0.197264, -8.79086,-4.32420,-0.978475,4.05065,-11.6029,-9.45763,-2.36062,-0.418385,-13.0466,-1.98209,-3.05468,5.05661,-13.4615,2.54804,-5.95180,-12.3035,0.00904655,-4.80353,0.366823,-9.49977,-16.8608,-19.5655,-2.40432,-6.14472,-8.41655,-11.5235,0.00656731,-3.14694,-8.45884,-12.1600,-12.3319,0.0547602,13.2606,15.7542,-4.37478,10.9989,4.12314,0.389925,2.38591,9.60177,-1.40855,9.34369,6.66498,0.948106,-0.820612,0.0253698,-1.39822,-0.0137932,-8.08791,-3.95876,16.5833,7.46858,10.1435,4.55812,-9.52881,-16.0733,-0.876621,6.05255,-12.4518,-17.9523,2.97104,-26.4621,-12.2304
30,24091,0.778905, 0.814550, 1.41940, 0.276811, -5.80100,-2.51198,14.4167,4.90823,-4.55971,-13.0608,6.48913,4.65213,-4.39665,1.83611,-1.62005,-4.89352,-4.44672,1.93358,-2.61818,-0.479194,5.79848,18.5385,14.2663,-1.71493,-3.20516,-5.50198,13.5404,10.2762,0.957642,3.71377,18.3329,2.07442,-2.44537,-3.48659,-4.67766,27.2125,35.3185,45.2387,-0.166774,5.41744,2.18099,-8.47216,-5.46478,-10.1762,-7.10423,11.6586,10.5397,25.1148,5.64404,8.13124,11.0363,0.394630,-13.7125,-2.25338,18.5243,12.3840,1.34049,-3.94418,-0.845136,-22.4545,-6.65130,1.82818,-18.5045,-20.6832,0.661551,-14.1548,-1.17121
31,53409,0.824250, 0.848296, 1.32662, 0.293351, -4.30321,8.75473,7.15145,0.518542,-2.54792,-2.49144,10.5701,12.4323,-5.22738,4.44565,7.91661,4.04669,-6.53911,5.13366,-0.589787,5.64072,11.7232,24.7468,17.1157,9.19928,-0.862054,5.76253,24.8862,18.1940,7.12995,8.31847,20.9494,16.9240,-0.819389,0.125695,-0.553222,16.4414,45.0624,50.4131,7.11264,5.32106,8.71083,-1.24226,-5.54395,-4.89021,1.13132,17.3323,8.97484,17.0459,8.09931,5.79198,7.33288,5.91755,-13.9200,-4.38322,16.9389,3.71712,-2.62543,2.62329,-4.77907,-12.8008,-4.01288,-2.17037,-16.3900,-28.1836,1.56412,-15.2748,-5.35628
32,30475,0.815570, 0.840802, 1.33939, 0.323504, -3.84934,13.3809,9.37942,7.66509,-4.03395,-1.36789,8.09766,15.1078,-4.72368,10.1987,0.560117,5.88061,-9.84012,10.6431,-0.695349,16.3430,12.3116,33.4706,18.9191,13.4277,-1.26951,10.8961,17.8119,27.5525,4.71056,11.2633,11.8098,19.9311,-3.95038,1.35314,-2.76587,25.6954,29.2712,50.1414,4.80296,7.32500,5.23605,0.674199,-8.93637,-7.70629,-1.41965,19.6407,6.04616,13.2869,8.33457,3.35543,10.9677,12.7038,-12.0455,-0.146039,15.7730,4.05929,0.601876,3.30896,-2.64479,-16.3180,-7.06894,-2.76148,-17.5943,-29.4234,0.656154,-20.2206,-2.10164
33,175592,0.759073, 0.795653, 1.15964, 0.263398, 5.73020,-1.08145,13.8035,-1.66736,2.01329,-7.36553,11.3024,11.4973,3.27681,0.353159,11.1256,0.455309,1.63757,6.22257,3.16382,5.40944,10.0173,23.1715,19.3428,-1.09331,3.54062,-4.72002,22.8116,4.27235,8.76997,-2.50023,16.0612,1.17762,2.03075,-4.57315,3.87672,11.4053,56.3553,37.5175,8.54698,-1.03793,7.54837,-4.55729,-1.46731,-3.98857,-1.96837,23.7806,8.30276,19.2550,0.593342,-5.37677,-0.200342,3.30486,-8.91728,-1.89323,22.5014,4.34204,-0.511153,1.23232,-3.88523,-18.1962,-7.43986,-2.18464,-12.5897,-20.2755,17.9509,-0.363826,-7.51286
34,53031,0.779139, 0.814242, 1.20057, 0.231962, 1.12603,1.72409,6.29803,-3.30339,-0.222615,-8.71141,11.0415,-2.60102,-2.36993,0.0704781,13.4894,-3.29387,-2.09419,3.64236,4.33824,0.915254,8.27953,10.2202,9.78206,-2.70936,-2.14304,-7.07427,16.6577,1.89683,8.10492,-5.85752,15.9270,3.38462,-1.15232,-5.85840,0.360858,17.5723,46.6124,36.8426,6.26089,-1.50913,5.24940,-6.57569,-4.13387,-6.10985,0.814749,29.3445,6.10906,12.5309,3.14530,-6.97299,1.04479,-1.91433,-11.7688,-6.28763,25.0385,7.29731,-6.99364,5.53142,-0.860365,-17.7543,-6.14726,4.32679,-11.4972,-19.9920,13.5997,3.35414,-7.21081
35,16431,0.712916, 0.762858, 1.61675, 0.479794, -9.92994,-9.16215,8.91118,-3.32862,-5.66908,-25.7814,6.56215,-16.6062,-10.1035,0.430655,-4.51803,-9.10985,-9.90322,-5.74081,-7.18077,-4.53638,5.32932,5.95274,9.75059,-10.4551,-6.19299,-17.7500,9.77219,-3.39295,-4.20506,-2.53679,14.6873,-13.6361,-1.95301,1.81931,-7.27137,14.2770,44.3771,45.1732,0.794536,12.4009,-3.41661,-23.0449,-2.89729,-10.4843,-9.32017,9.50561,8.87829,25.8240,12.6997,10.2445,7.97611,-2.31382,-14.5137,-13.2839,13.9952,16.2858,2.20351,-9.78467,-1.32576,-24.6235,-6.34521,7.69214,-19.2772,-9.06181,7.90931,4.82795,-0.718710
36,62579,0.663269, 0.716695, 1.22177, 0.184305, -3.68449,6.04826,14.7814,4.16481,-5.24930,-7.57208,-3.93101,3.13462,-0.0689362,1.91820,0.233929,20.9454,-4.35549,5.08122,-7.22128,6.07630,2.36361,6.27434,2.45196,-4.15179,-5.59814,-0.601103,2.68111,14.1424,0.693020,4.89839,5.48489,3.99099,-1.55480,6.93923,-5.86961,19.2961,40.7797,30.2592,-0.0372764,10.7583,2.35629,-1.20211,-2.62866,-12.3649,-7.68245,4.48801,-1.02216,12.0831,-2.22896,0.637574,10.8812,2.99679,-13.3417,-8.64637,25.0816,17.3276,0.237919,0.865228,-3.01071,-14.6021,-0.173291,16.1904,-11.0108,-18.9753,17.1430,11.0128,1.65695
37,19860,0.643646, 0.695903, 1.08629, 0.0829552, -3.04287,3.78198,13.3475,6.16137,-3.95951,-8.51509,-1.56904,11.3548,-0.482793,14.2972,1.65680,23.1690,-3.48011,1.31494,-8.65516,9.88793,7.80953,19.4520,6.64567,3.83783,-4.74150,-4.87939,1.12224,7.78850,-4.54582,-0.0931856,8.04157,3.65392,-4.10218,17.1985,-4.86847,14.2962,31.3883,25.5900,-1.56801,12.1609,-1.59205,-0.899689,2.30326,-10.0867,-6.49214,0.508671,-1.35311,9.14018,2.43497,4.49393,9.83608,7.15499,-10.4439,-3.73012,23.9269,13.7258,-0.471696,0.910554,-2.44782,-8.87485,-2.79079,8.99362,-12.4855,-22.2361,12.2638,16.0131,-0.874247
38,1446,0.576491, 0.651676, 1.39453, 0.265202, -6.63139,7.95608,23.2828,0.625225,-10.3921,-5.52678,-10.7833,1.66375,-11.0740,-5.64224,-7.09470,5.20602,-3.04424,-2.26728,-9.09299,15.1489,-6.29963,12.7304,-2.87847,0.511413,-11.9133,-6.80332,-3.34974,24.7833,-5.09367,4.88285,-3.69835,-0.966828,-3.91911,-2.74719,-9.83041,17.0192,27.7683,25.5493,-2.15954,21.6280,-2.48259,8.08128,1.63664,-19.2451,-14.7621,-1.24023,3.53078,7.40452,-9.17250,-4.96404,11.5555,6.47064,-13.6513,-1.88401,18.8183,0.370302,-2.16774,-7.83404,-2.85087,-13.9337,8.67736,38.9366,-3.46373,-4.08097,23.3552,19.4141,-5.80759
39,8763,0.267409, 0.390388, 1.12397, 0.231983, 0.0898413,33.1932,12.0847,12.9049,-1.98935,1.24348,-3.87473,25.0354,-4.11077,13.5252,-2.27438,25.0658,-6.80479,11.2550,-7.20068,22.7904,-0.333693,14.0670,3.62565,7.33737,-5.47070,-5.61250,5.93257,19.8157,0.945287,6.33179,0.622397,10.4093,2.68355,9.01830,-5.41855,33.6479,31.2279,41.8317,-1.70854,18.6834,0.147039,2.91025,2.15832,-13.3867,-7.97533,0.287259,-1.45912,-3.58910,-2.64593,-5.10463,11.4605,6.69534,-11.6440,-2.31124,27.5793,20.0245,-0.0940309,5.85317,-7.11791,-15.6968,0.290245,21.5670,-12.6686,-14.3387,19.6053,9.59867,10.0070
40,26360,0.576680, 0.647698, 1.37855, 0.308119, -6.77644,3.55382,9.90454,4.41548,-8.61124,-11.4629,-8.09809,7.99041,-5.45665,4.76187,-1.10696,20.4019,-7.99558,-1.69570,-11.4532,20.0494,-4.39351,4.80269,0.350664,-4.21131,-7.74110,-3.30600,-2.62451,15.5313,-6.36983,-2.02648,-0.821049,1.74508,-5.86063,1.95380,-9.45171,20.5673,33.2265,35.2297,-1.67694,14.3478,-1.13587,8.08430,-4.02630,-19.9956,-9.66623,-1.90592,-2.55478,5.47013,-6.16047,-0.352515,11.0863,1.59065,-14.7417,-7.02136,23.5191,20.9875,-4.71071,-2.34156,3.83003,-11.2091,2.93925,29.7911,-5.96969,-15.0135,17.3695,5.53408,-2.07727
41,2041,0.596059, 0.663019, 1.26899, 0.418460, -8.81512,18.7587,7.99447,21.4607,-7.53330,1.46758,-9.85436,15.0073,-7.50377,9.10949,-2.50659,11.4393,-1.01054,12.0567,-12.3049,16.3010,0.0208626,13.3537,-4.53620,0.984024,-12.8676,6.30453,-3.13139,25.7758,1.07618,19.5093,2.42155,6.87693,-8.54680,13.4557,-8.22760,22.2504,29.5606,36.5481,-1.38307,11.2181,-3.69449,11.5961,-2.11918,-16.0647,-11.6442,0.947041,2.78905,19.8064,2.72061,1.76622,18.8153,7.40233,-13.7952,-4.51115,14.0921,10.8972,-0.533060,-1.39634,-10.2348,-23.5401,2.48382,20.8411,-6.66267,-16.1479,18.1767,9.29558,-4.22579
42,9304,0.498708, 0.585919, 1.34563, 0.354941, -7.36689,5.97673,8.80575,6.01159,-9.71104,-5.79884,-9.08899,10.1041,-8.72558,3.51729,-3.97701,14.2865,-6.87403,-3.27424,-11.3048,16.0879,-4.30223,6.98565,-1.49245,-4.47003,-8.75497,-2.39623,-5.11389,13.6970,-6.82426,3.94570,-1.43965,-3.94961,-6.17317,3.02440,-9.92289,26.1194,36.8581,39.0726,-3.86345,10.4985,-2.67265,4.86976,-6.60999,-22.3099,-10.7672,-4.12322,0.311613,11.0033,-3.61523,-0.649106,13.6795,2.35833,-15.4118,-4.08149,22.5889,18.5139,-7.10273,-3.00107,1.93903,-15.6353,5.13786,28.9296,-7.66138,-11.0051,14.9069,7.48534,-2.18963
43,26396,0.739098, 0.781299, 1.28262, 0.191187, -10.5635,-0.306786,6.25890,9.69281,-8.18432,-7.91311,-5.73786,4.54259,-6.63880,4.06766,-4.09090,19.2993,-2.83517,5.55804,-9.67506,9.54200,2.33339,7.52119,0.0365915,-1.72370,-8.78484,-5.32005,-1.03207,10.1518,-6.00951,5.74851,2.92295,4.13504,-5.30147,9.29352,-6.57099,17.6988,32.7829,30.7969,-2.00376,11.8481,-0.888898,4.49393,-1.18718,-11.9593,-8.02949,1.87843,2.30698,12.5834,-1.66251,0.359717,9.31015,0.332164,-14.5566,-4.34217,25.9469,19.9849,0.137989,-0.357174,-0.813998,-10.7860,-0.763570,10.2249,-13.2182,-17.9188,13.3175,20.0980,2.88844
44,23936,0.715798, 0.759534, 1.19969, 0.105629, -4.49774,9.33417,16.3636,4.91372,-3.56325,-10.4526,-1.15835,7.30894,-0.610032,7.43076,3.06741,14.8298,-7.81468,10.4084,-7.20485,10.1647,5.34497,18.6018,8.19874,-3.98708,-5.02925,-9.33816,1.91920,9.20913,-4.08404,-5.22703,6.42305,-0.0241307,-0.0444714,13.6732,-5.19103,15.2503,42.7581,46.0091,-1.25460,4.15878,-2.01474,-0.866263,-2.22743,-8.28745,-6.20307,7.87646,-0.351896,4.45383,-2.89435,-2.12756,5.30206,-2.39597,-14.7820,-2.38016,27.9174,21.6397,0.621273,-0.561622,0.0757174,-7.15299,-0.130804,10.0078,-10.3996,-21.0720,10.5830,2.32363,-3.88407
45,16869,0.514688, 0.596492, 1.26613, 0.350176, -5.13300,7.90492,9.40865,11.0369,-8.09692,-1.59285,-7.31598,8.90548,-5.69301,4.93919,-3.21927,16.4631,-5.88240,0.156062,-10.3177,15.6536,-1.64000,7.33229,-1.37231,-1.88394,-7.81543,-0.903995,-2.63307,15.8292,-0.708053,7.15712,0.343218,-1.64533,-6.34095,4.01942,-9.31679,16.9356,40.5892,40.3263,-1.28073,10.0753,-1.69635,7.24463,-2.71626,-18.3567,-12.0400,-1.99049,1.50929,12.3541,-0.128796,3.66997,18.0331,8.53811,-14.0396,-6.77526,18.7493,13.9129,-5.63933,-2.92188,-3.19848,-19.3469,1.40448,25.4242,-6.66802,-14.5079,15.8372,9.34952,-0.748496
46,14810,0.360309, 0.472077, 1.11699, 0.145184, -1.47812,24.9443,17.5489,13.7366,-4.42995,-6.55223,-4.08444,13.5487,-4.89583,6.02632,2.07733,21.0418,-6.62459,13.0469,-7.99434,16.4099,0.159204,11.2276,1.50473,2.43175,-5.18062,-4.87166,6.25878,16.9486,-0.543309,3.29686,1.72165,5.87200,1.77631,8.93883,-5.61692,22.7802,34.1695,44.1252,-2.57288,9.95083,5.21089,3.83966,2.31172,-16.8570,-7.64760,2.38165,0.855179,-1.18438,-7.17300,-4.93474,12.3951,3.76895,-12.3380,-4.14479,25.8190,20.1977,-0.860277,1.44120,-5.55138,-15.2586,-0.418732,23.4229,-9.21991,-8.83274,24.3074,16.2217,9.82127
47,13301,0.620292, 0.683646, 1.24446, 0.319134, -1.42132,11.8815,14.6116,12.6800,-4.00641,-0.335797,-5.59567,4.87831,0.530669,5.36390,4.19589,30.0367,-6.00627,3.49707,-7.44138,12.1005,1.59696,7.82696,5.78765,-1.35938,-3.23585,-0.766756,3.16545,11.8923,0.209708,-0.203865,0.861699,0.492562,0.225903,1.54138,-5.91979,12.0920,37.9918,43.3379,-0.0791081,11.4898,5.99966,10.8249,1.21418,-14.8752,-3.63008,4.77461,-3.31658,2.12189,-7.02423,0.531895,11.6351,3.22135,-13.4950,-10.0278,23.5148,22.3401,-1.90394,0.902440,0.132461,-16.8741,-0.214793,22.7342,-7.84353,-14.8493,17.6763,6.65442,0.154428
48,34652,0.520770, 0.600001, 1.13146, 0.204785, 4.20944,26.4740,16.6638,6.35591,-1.58492,6.86714,-1.44684,19.6493,-3.96789,7.73596,-2.06973,21.2682,-4.33081,8.70800,-6.71380,10.3311,-0.306630,8.90000,2.42736,2.96993,-5.41053,1.36375,4.02990,14.6853,0.767342,7.45845,-0.211942,10.1575,1.09195,4.49944,-3.63014,27.0742,36.7085,54.8290,0.472846,13.9126,2.39357,7.11385,0.586878,-4.96325,-9.46888,3.47528,-0.448368,12.1216,0.317129,-9.21052,9.70979,-7.53124,-13.7433,0.590665,24.9047,10.5009,4.73799,12.5923,-8.33856,-11.4744,1.00520,8.56999,-12.5784,-14.6715,20.5404,10.6527,6.28128
49,26056,0.562602, 0.636144, 1.18034, 0.171991, 0.592412,20.2780,16.3287,7.14839,-6.87699,-3.35998,-5.61523,16.1802,-7.09938,8.71815,-1.34093,12.0778,-6.29619,13.4833,-9.15341,9.23391,-1.66337,9.83130,-1.15902,3.03329,-6.01424,-4.68488,4.89838,14.7262,-1.50887,5.63693,1.41890,8.82964,0.383778,7.06947,-5.07565,30.2753,38.1750,50.6125,-3.01745,7.59271,2.70057,-1.19284,-2.63795,-11.0056,-6.14789,5.54225,2.08530,8.73869,-5.57946,-7.74709,10.7601,-7.77321,-13.8171,-0.392156,26.1404,18.2781,3.44844,3.03340,-7.08626,-13.9171,-2.67029,19.0377,-11.2194,-13.7950,24.5659,19.1586,9.87346
50,13102,0.796769, 0.830050, 1.41617, 0.422815, -12.8249,11.3272,9.71528,18.5409,-11.4417,1.82752,-8.62610,7.93060,-10.0754,4.96670,-4.70315,15.7880,-6.89592,8.44113,-16.1128,8.05244,-1.73388,6.45570,-8.48509,1.66558,-15.1695,-3.31116,-4.92671,23.5558,-1.54661,13.3462,5.74205,4.59688,-8.13929,8.92408,-10.2928,21.3753,39.4455,38.5744,-2.33930,15.5447,-5.21902,12.0915,-1.65707,-8.34857,-11.3585,7.26430,4.62489,17.3075,-0.390678,-3.87631,14.3952,3.56794,-15.4861,-7.33199,21.3696,15.7419,-1.10576,-0.408480,-4.61262,-23.5043,0.996928,16.6024,-12.0583,-17.0143,15.0809,12.3948,-1.85859
51,12037,0.469165, 0.560992, 1.21107, 0.163868, -2.41008,27.4264,17.0072,24.4581,-3.50854,-0.777294,-2.78034,10.2297,-1.63245,12.1613,-0.395740,32.3672,-8.16929,10.4810,-8.56119,28.4184,-1.98124,12.4617,2.93280,7.13175,-5.24934,-2.90544,5.74273,30.4691,1.26311,4.38007,-0.0318845,7.75254,-0.402444,9.12168,-7.00804,24.4898,26.9922,48.0858,-2.72334,18.3268,1.66475,9.92139,1.92818,-13.1303,-10.0192,1.45454,1.00558,-1.27427,-6.90656,-4.77192,7.72215,7.39059,-12.7852,-10.3469,23.9440,25.8500,-3.24855,-2.50016,1.31029,-10.5361,3.40784,17.6398,-7.88597,-9.77536,17.4279,13.5204,-0.574272
52,7078,0.471329, 0.564139, 1.30399, 0.398147, -7.63633,15.9879,14.9319,4.11024,-10.6816,-5.41187,-8.72144,10.1075,-7.53808,-3.02404,-6.62179,18.3142,-2.98036,2.87643,-9.62882,19.9418,-3.03785,3.65520,-5.03375,-3.58781,-9.52599,-6.67957,-5.22871,24.0829,-5.52874,9.10987,3.00833,-1.54136,-5.56792,-2.88195,-7.21280,14.2650,35.7032,36.9254,-1.45600,10.2211,-4.84062,0.937426,1.74784,-21.8743,-13.1417,-2.07063,-0.501018,15.9137,-6.29633,-1.65767,12.4238,4.94723,-13.5258,-4.83332,23.6022,9.74137,-1.73480,-7.01313,0.350255,-16.4828,5.67828,31.9054,-9.22132,-8.57577,17.4430,10.3206,-4.76343
53,43934,0.607306, 0.671556, 1.20105, 0.0763333, -2.18875,13.3279,18.6453,6.76956,-3.18563,-7.05816,-2.53935,8.23868,-0.939695,5.08588,0.681995,14.7942,-5.52212,9.10343,-7.77375,7.11874,1.08746,12.8891,3.64074,1.29443,-3.96894,-2.76217,3.45707,14.7598,0.141724,1.13389,6.33501,2.81181,-1.31991,10.6838,-4.00046,18.0414,39.7433,41.8312,0.436167,12.6432,0.357456,0.102042,1.00429,-10.4175,-7.92249,3.18122,-3.17647,10.4141,-3.15190,-9.38288,9.28524,-2.10530,-13.5331,-3.45673,27.5173,26.1885,1.13836,0.917061,-0.775803,-9.40334,-1.60280,11.0684,-10.1958,-17.0035,14.9270,13.9842,1.26246
54,20369,0.603989, 0.659983, 1.10855, 0.0117207, 15.7398,19.7140,20.2898,16.0499,-3.79917,-4.49314,9.78981,19.1609,3.97381,5.33542,4.44535,16.1501,-1.73874,16.9144,7.07438,11.7146,3.84426,26.7790,8.90962,3.34963,-3.53696,3.37260,6.87416,14.1352,-0.813275,-0.384859,6.90341,17.5499,2.02285,0.0549415,-8.62927,15.4801,31.6224,33.0746,12.9279,9.20815,5.21344,-2.73499,-5.64777,-4.47749,-4.77669,8.17340,2.05254,12.9551,-1.24961,14.1719,0.558573,2.98203,-12.5725,2.66717,17.2439,10.1479,2.66839,-6.29485,5.79637,-22.1555,1.01544,5.66738,-11.5932,-23.8371,10.2704,14.1366,4.94440
55,157632,0.656209, 0.706712, 1.36376, 0.268906, 6.76900,7.56528,21.3813,17.3799,4.30911,-3.01514,18.1096,14.1435,3.78889,8.20919,6.52994,18.2494,5.76790,14.2882,5.74187,12.1987,9.32304,18.5666,6.89674,1.26818,2.26171,-1.18741,11.5314,9.80777,3.34174,0.626851,19.3260,6.48180,2.23692,4.65252,2.94834,23.9997,43.3722,38.7908,13.0590,9.86049,6.62967,-2.28131,2.72301,5.20449,-5.63123,2.56955,2.99522,10.0549,-2.83625,5.06376,0.222922,-7.22258,-12.4268,0.832250,18.1787,14.9194,2.50775,-3.28365,4.63172,-19.3275,-3.36030,8.88129,-9.97677,-17.6920,10.8420,6.40228,-1.22841
56,251462,0.554396, 0.620890, 1.34321, 0.127389, 5.12645,7.72471,24.7921,10.8967,2.45646,-1.75168,15.7775,14.7950,4.25857,20.9521,9.76246,20.6927,5.15950,18.5545,5.88961,18.0388,10.5231,17.1746,5.39573,4.23800,1.25991,-0.514381,6.35079,12.3617,0.852376,1.80950,11.3986,2.84172,2.77889,3.05536,2.33166,16.7639,38.2042,32.5714,7.79381,7.76217,6.71186,-4.14993,1.26207,-8.75525,-8.26493,0.778426,1.74969,20.0225,0.363078,-1.18143,2.95914,-3.20341,-12.3419,-5.53005,11.4028,17.7900,-1.33279,-4.49329,6.61771,-15.9214,0.717191,17.4946,-9.04473,-17.0006,12.9654,-3.57360,-4.30047
57,121107,0.801895, 0.832464, 1.22923, 0.333404, 3.22292,0.890925,16.3903,8.20391,2.48601,-5.91453,16.0977,13.5546,3.92219,-1.71281,7.33309,1.72883,1.93218,11.0744,4.97433,6.10868,13.9090,25.2576,12.4901,-2.28843,3.13933,-2.34879,15.3006,3.31076,6.24154,-2.08292,22.3093,5.07565,2.72986,-3.57137,3.49446,14.7898,48.1625,45.5998,11.7114,2.37197,6.34712,-3.56185,-0.467755,5.19462,2.45875,12.3665,3.02213,20.1282,-0.957706,1.95825,0.995550,-4.47475,-12.5487,-4.81016,21.6622,11.0745,1.01653,-6.63016,-3.31157,-19.0740,-3.91535,2.54902,-11.9491,-18.2821,8.78326,-0.653633,-1.09207
58,8552,0.639546, 0.691780, 1.04737, 0.259803, 7.25145,23.7329,18.5844,11.7087,-7.36022,-5.98306,9.59915,19.6244,-3.15088,5.81949,2.77257,15.8503,-6.13853,12.3178,2.76819,15.4468,4.92786,27.7722,5.46293,-1.26588,-3.71042,4.47955,6.35345,17.0308,-0.426380,2.43495,9.99177,17.8484,-1.59967,-3.77772,-5.93147,13.7157,28.9551,39.1742,4.71927,3.76351,5.63938,-1.37880,-8.73608,-0.464465,-3.79833,9.22312,4.31124,16.8219,-1.66685,12.6697,2.99895,1.77371,-11.4102,1.40485,20.9572,6.43295,3.14328,0.937100,3.28389,-21.2605,-0.964568,-2.76075,-16.0670,-24.7777,10.7113,22.0870,2.00401
59,280093,0.733904, 0.770951, 1.04923, 0.178003, 5.02685,7.09014,17.9959,3.34655,2.21943,-4.89066,8.51366,18.3998,4.30589,5.99312,10.4359,16.0948,3.91336,10.8339,3.95237,9.76868,9.84791,19.3109,7.94916,-5.08390,2.36743,0.540815,10.6941,6.65351,2.94157,-1.45097,16.0467,9.82516,3.47902,-1.01114,3.68316,13.3536,49.7898,32.8714,8.84499,4.80473,6.81564,-3.41392,-0.183414,8.22271,-2.68362,8.93599,4.54227,15.1637,-0.580580,0.711866,1.74426,-4.13769,-11.2577,-0.869122,15.4077,3.43342,-2.92539,0.380675,4.69057,-16.7776,-3.55538,3.13462,-10.4941,-18.1987,16.7310,3.65091,-4.68660
60,6391,0.920903, 0.932119, 1.30353, 0.0416948, -3.65402,15.0546,12.5456,6.66135,-8.46435,-19.8498,-5.97419,27.5225,-2.47543,10.5854,0.947789,15.9199,-6.14495,14.3528,-5.95405,13.0805,9.71840,6.85531,4.81046,-4.45438,-10.8804,-12.6606,-2.65212,-4.20382,-5.95102,-15.1320,6.12848,-4.51204,-6.69898,-0.469805,-10.8541,5.48076,26.2980,35.0656,-4.07824,-6.20397,0.296923,-14.6258,-15.7812,-1.20433,-9.72701,2.56208,4.23279,9.01534,-1.08630,-7.25191,4.27653,-10.1042,-14.2554,13.4035,26.1847,15.0232,2.65145,1.47716,3.48037,-7.57960,-4.43000,11.1888,-12.2415,-26.5300,9.51038,-1.55986,2.10683
61,39849,0.906547, 0.920065, 1.20490, 0.111424, -5.11143,9.06575,10.5073,3.96079,-5.00085,-11.9208,-1.37777,23.5308,-6.33336,5.57590,0.327571,16.7895,-6.21767,9.90270,-5.79187,8.61702,6.63195,19.4806,3.21110,-3.41826,-8.83102,4.07515,4.75214,9.47524,-5.48588,-3.09134,5.47202,9.82818,-2.50551,4.07824,-5.00814,17.6008,36.0842,50.1428,-0.652279,8.20148,5.20805,-10.1335,-7.68432,6.12325,-7.99252,7.87173,5.85110,8.52515,-0.939000,3.38048,6.69094,-10.7353,-13.2548,7.35779,26.4430,12.1515,-2.27748,3.16808,-1.56536,-14.0147,-2.25190,-0.414571,-14.1514,-23.4134,8.41452,-6.62130,0.471719
62,48732,0.903913, 0.917035, 1.19895, 0.105044, -1.93557,9.75162,12.4800,-0.674720,-2.43383,-11.7971,0.452482,22.5924,-2.46934,6.19489,3.37761,13.6187,-3.25784,10.3434,-2.64938,8.41515,9.41458,17.4937,4.07871,-7.98745,-4.85619,-3.59496,6.93163,11.0728,-2.18009,-1.55650,10.9810,8.94991,-0.812480,-0.851848,-1.67475,13.6182,47.6022,42.4092,2.58291,8.08613,3.35438,-11.7358,-6.92284,7.33710,-4.20562,13.9012,8.99550,15.7426,-0.123012,0.0792202,1.50363,-5.86890,-13.4050,-3.51748,17.3704,5.37382,-1.34002,3.91142,4.36169,-12.8574,-0.839644,-0.396766,-15.0919,-23.7048,7.81921,-7.21908,-4.48598
63,38515,0.924951, 0.936303, 1.16886, 0.0255075, -4.42627,11.2722,9.18253,-0.982448,-4.13298,-13.6635,-1.50880,24.6161,-4.64233,6.17811,1.82203,13.7319,-4.63903,14.6122,-4.76979,8.69488,10.6408,15.3465,2.95457,-7.05626,-7.72206,-0.562330,6.95384,8.75571,-4.16179,-3.96574,10.2977,7.46538,-2.13367,-3.90265,-3.59508,12.4746,42.5223,46.5803,0.770281,6.29034,3.81548,-14.5232,-9.83681,5.11056,-7.05880,10.8991,8.23706,12.1203,-1.26340,-4.57278,2.98553,-9.26507,-12.9316,10.2919,25.2840,5.68390,-2.11344,0.0772751,0.759458,-12.3615,-2.33835,2.78417,-13.7040,-20.7679,11.2085,-5.26614,-1.05901
64,56299,0.821448, 0.850617, 1.58529, 0.311818, -9.56571,-12.9043,10.7010,-7.15721,-6.08816,-32.4948,-0.583849,4.18337,-3.21119,-4.19098,-2.89979,7.62264,-0.734223,8.13039,-7.07532,-8.11373,0.270970,-11.4769,-1.99478,-28.8290,-11.2033,-24.9682,-6.65152,-18.6931,-10.9993,-10.0417,10.0988,-11.8382,-7.47692,-0.326903,-6.01425,12.2474,30.5690,26.2567,1.47865,-1.47317,-2.87173,-25.4517,-1.69185,-7.32960,-7.01222,0.791449,0.428333,6.58972,-1.38934,2.59405,2.44769,3.09994,-9.57860,-2.14655,13.6509,18.4250,2.11524,-9.09997,3.18807,-18.8098,-2.67292,13.2815,-13.2178,-7.39561,13.8094,10.2406,6.87195
