;Aggregated and intercalibrated zCumNDVI data for eMODIS: extended by GIMMS for 1981S*-2000S* for Kenyan divisions
adminID, pixels, L+S_R2cv, L+S_R2cv_within, L+S_gain, L+S_offset, 1981S*, 1982L*, 1982S*, 1983L*, 1983S*, 1984L*, 1984S*, 1985L*, 1985S*, 1986L*, 1986S*, 1987L*, 1987S*, 1988L*, 1988S*, 1989L*, 1989S*, 1990L*, 1990S*, 1991L*, 1991S*, 1992L*, 1992S*, 1993L*, 1993S*, 1994L*, 1994S*, 1995L*, 1995S*, 1996L*, 1996S*, 1997L*, 1997S*, 1998L*, 1998S*, 1999L*, 1999S*, 2000L*, 2000S*, 2001L, 2001S, 2002L, 2002S, 2003L, 2003S, 2004L, 2004S, 2005L, 2005S, 2006L, 2006S, 2007L, 2007S, 2008L, 2008S, 2009L, 2009S, 2010L, 2010S, 2011L, 2011S, 2012L, 2012S
11,14296,0.711447, 0.762395, 1.40349, 0.0195556, -4.07125,-11.9979,11.0546,-15.4628,1.78022,-49.9862,-2.65245,-2.76851,-4.73996,0.739872,-3.10484,-1.72032,-0.488655,2.76105,3.96197,-2.77483,4.77294,-15.4680,-3.14565,-23.0670,-2.75610,-20.7653,1.39097,-15.8225,-7.85300,-6.84540,-0.0758051,-14.4076,-3.78320,-9.29070,-1.80104,10.3233,22.5651,-5.73345,2.11825,-8.53929,-5.75749,-34.0534,-4.37265,-0.681389,-1.75139,-6.51229,-9.43237,4.35911,-1.36246,1.20015,1.23746,-0.130428,-10.0459,-8.24254,13.8681,17.3171,2.65539,-9.31187,3.51561,-27.4005,-4.22042,23.0830,-6.20403,6.31968,20.9712,18.0177,8.41656
12,6664,0.822167, 0.853445, 1.31207, 0.0512758, -7.80742,-4.00477,6.27613,-9.98550,0.325084,-44.9094,-1.17977,2.75291,-9.57526,3.19586,-7.02644,2.69470,-0.832028,3.23357,1.23308,1.68177,2.56712,-6.53679,-3.98117,-18.7575,-12.6291,-21.1250,-2.43676,-8.76881,-8.59225,-1.93634,4.70088,-12.5528,-5.84200,-2.19091,-6.32066,14.9951,19.4201,2.41203,2.22425,-3.19854,-7.11795,-23.6656,-6.74624,1.86007,2.04833,-2.79174,-9.13325,5.36741,-3.30113,3.12428,0.973762,-1.06021,-11.9863,-15.1309,9.98382,17.2442,7.28777,-8.13922,6.67479,-30.9968,-2.54939,24.3464,-6.06412,6.17634,15.9202,14.9674,8.20584
13,2537,0.713340, 0.759812, 1.29924, 0.274942, 3.32115,7.02711,10.5922,-1.43216,6.55813,-28.4804,-2.98758,4.84146,-3.35975,-0.641289,-4.76892,0.470809,-5.08746,-7.98112,10.4787,10.6388,19.1929,9.04054,2.88752,-8.36798,-4.70242,-10.2115,13.7594,-2.56676,-13.7007,-4.61549,15.2691,6.91319,4.03428,-3.06848,6.98192,14.6510,15.5960,10.0317,4.44305,-2.35358,-9.98982,-42.6983,-4.89355,1.91612,1.14502,-3.19031,-6.36431,7.25257,-2.68939,4.27208,2.76162,2.11591,-9.60146,-4.33671,12.2933,14.9597,6.47851,0.844581,3.11519,-30.9499,-12.9816,19.4259,-1.04333,-12.3099,9.58017,3.32779,11.8093
14,3195,0.848641, 0.873852, 1.47425, 0.291976, -0.0622922,9.57688,8.34791,0.644235,2.83501,-36.3874,-6.43637,11.3930,-8.30676,11.9405,-5.58580,7.11855,-6.63790,4.59941,8.80976,18.7968,18.0829,15.3877,0.0631415,1.34185,-6.68208,-6.68095,9.44906,5.83000,-15.3301,6.43345,24.0716,6.50196,-0.826728,-1.18105,3.93333,23.9314,15.3960,18.8467,4.01723,-6.03223,-13.1931,-43.8659,-7.04058,-1.69466,1.55023,-2.36079,-6.56949,9.57870,-3.88649,2.71467,-3.00875,4.22458,-8.74870,-9.87196,11.2164,15.1759,8.29226,-0.326304,4.01495,-30.1638,-7.52355,22.0159,-2.44483,-9.29216,11.2556,5.49222,11.1086
15,23947,0.607985, 0.666878, 1.29151, 0.433165, -6.30584,2.22339,-0.227679,0.544710,-8.48496,-10.6907,9.16386,18.9772,-12.1708,21.2890,8.33350,7.05768,-11.3569,-0.992236,-2.12768,5.00111,2.64089,19.5015,9.38998,2.16110,-6.52393,0.285594,6.27689,3.06442,-3.73606,-8.70552,6.05119,10.9922,-2.88001,-1.37668,-4.71042,20.9701,36.3879,44.0367,-2.61577,13.7792,10.7860,-1.21804,-8.44217,-3.47808,11.1094,24.7435,6.34511,10.3945,4.51424,-7.34522,0.291532,-8.25837,-14.4741,-13.5732,13.7698,3.65134,-0.356054,10.8038,-3.10191,-5.11563,-2.78656,10.4240,-16.8253,-22.2467,7.75778,-6.42073,-6.57257
16,11912,0.709633, 0.754409, 1.20210, 0.452321, -0.0303065,13.9193,5.67174,-0.333712,1.28301,-2.83879,20.1087,11.5397,-3.51389,5.49850,18.5004,4.41121,-1.91324,1.47175,5.86174,2.84321,10.3131,19.3248,10.3551,9.66810,3.67596,2.75515,22.7798,12.8206,6.86884,-0.590064,17.3656,11.9471,2.47407,0.867346,1.63723,26.4739,58.0262,44.5540,6.60684,7.56027,11.5507,1.00668,-2.54572,-0.0231635,-1.58796,13.7085,14.1771,28.8006,8.01724,1.43146,6.70657,-3.36632,-13.9081,-8.56671,20.7274,0.617482,-3.36926,8.58589,-3.48658,-15.0851,-8.18769,0.484063,-13.8431,-26.5867,-0.0273598,-17.4805,-5.58172
17,73149,0.848911, 0.872133, 1.27611, 0.294812, -5.63254,1.77437,3.26146,0.677232,-7.84614,-12.1764,-1.87327,1.03934,-7.71457,0.731571,-2.64357,12.0788,-8.23161,2.42939,-4.69826,-0.696289,5.26784,15.0562,0.648329,2.37354,-11.8390,-7.10392,4.48265,0.971039,-1.92997,-0.401283,1.33638,-0.153807,-3.51290,-5.85143,-5.86861,10.7411,25.1576,37.2846,1.30732,8.67023,10.4749,7.17047,3.16685,-1.01415,0.831903,12.2665,5.44521,3.98416,1.52785,2.07422,-5.66762,-8.67202,-13.1309,-9.59202,15.1817,7.75406,13.1507,11.2861,-5.23280,-10.1618,0.395348,9.95449,-15.2817,-17.8794,7.21154,-13.6785,-7.07074
18,9798,0.794908, 0.828127, 1.38632, 0.495092, -10.0786,-2.86023,8.60938,-4.62688,-7.66545,-10.9072,9.12889,-2.89295,-9.95948,-5.74487,1.00187,-4.25701,-8.76791,-0.746348,-3.28927,2.25552,7.88660,19.9926,4.61374,-2.90519,-9.37982,-8.09638,7.11703,-6.62997,1.70811,-2.89019,4.78757,13.1247,-0.316865,-3.05899,-5.03233,6.43687,36.5443,38.7413,7.45352,3.28349,11.0602,9.14128,-4.15022,-1.77674,0.684895,11.1685,8.73264,15.4655,1.15472,-7.29094,-8.07752,-15.6629,-14.8835,-17.8889,14.0686,12.6954,7.81732,10.9768,-3.73759,-12.1843,2.35193,19.9417,-13.5053,-15.4441,11.3891,-10.4324,-9.52045
19,50033,0.609316, 0.671980, 1.18086, 0.253351, -5.60227,13.5491,2.58466,2.39671,-4.55202,-4.75015,9.74287,11.8784,-7.76620,15.6322,3.66801,0.825925,-6.17048,11.5515,1.99766,4.92918,1.47512,17.7361,2.56909,4.67315,-4.16229,2.62930,7.58654,6.16506,-1.42504,-0.00455356,5.86418,9.68161,-3.78119,-0.841202,-3.06843,24.3773,29.4572,52.0786,-0.136212,6.60075,8.18933,1.02330,-5.91455,-8.39601,0.710644,21.1280,3.35874,5.99093,3.71209,1.50808,-1.70502,-10.0053,-11.5410,-5.93655,25.0445,15.6710,-2.68072,3.61838,-7.06709,-11.9159,3.93632,7.07720,-13.8884,-18.7399,10.9971,3.09116,-6.20586
20,20888,0.739949, 0.782777, 1.47451, 0.604895, -6.40749,-2.09567,2.44774,-1.35435,-8.99470,-13.5336,9.88797,11.4363,-13.2171,14.9282,9.09275,-4.23106,-11.7366,0.230667,-5.58044,-0.865926,4.42450,22.0419,6.71271,-0.421302,-11.4103,-8.47502,12.5479,-7.20033,-1.38140,-9.88191,3.78382,15.9924,-4.32933,-9.25660,-7.51362,8.34659,37.6310,49.7774,-0.576081,5.08306,13.4422,-0.119840,-11.1968,-14.0158,8.52861,22.2780,4.65981,7.69185,5.97939,2.65412,-3.63673,-13.9745,-14.0530,-15.1219,13.0355,12.0880,4.86241,9.71080,-6.46942,-7.09199,3.25378,12.4231,-15.2157,-16.6416,5.14882,-11.4308,-9.60366
21,49222,0.726732, 0.769993, 1.36275, 0.447595, -9.02904,7.26899,2.92303,2.92452,-4.68470,-7.46614,7.70572,20.8867,-6.65707,14.8596,3.20199,-2.20763,-8.52659,9.62742,-4.19727,-0.0581869,6.57824,25.1563,2.37615,2.45070,-6.21355,-2.73849,3.45472,0.245785,-1.19757,0.526478,4.34920,13.1125,-2.49476,-5.12217,-3.92277,3.07507,29.6887,51.4083,2.93325,2.66630,12.2100,3.17037,-6.85647,-8.78238,-0.0265425,11.6209,0.352564,14.1903,3.94916,0.651339,2.20040,-5.46889,-13.9975,-14.3436,22.1054,15.5450,4.52673,2.85586,-8.02481,-13.1838,2.01991,16.1573,-14.8037,-19.2421,11.2588,-5.30682,-6.37128
22,45386,0.834592, 0.859858, 1.34494, 0.359839, -1.62880,4.27450,6.97318,23.0289,0.342101,-4.60253,0.445347,20.7841,-9.14121,9.71461,-4.09626,15.2728,-7.32503,10.8521,-5.07205,-0.537625,4.25683,25.7836,3.22589,6.29577,-11.0694,-9.66868,2.41765,4.11753,-3.99965,8.30031,2.61920,12.2287,0.341224,-6.91096,-8.71785,9.38631,25.1300,40.4400,1.65457,16.6918,3.14409,-1.33375,-0.883727,-4.53878,-3.06682,14.3851,7.63009,5.93685,10.5778,-5.96132,4.15853,4.39796,-14.9154,-12.7206,16.3559,13.6385,8.28283,6.96432,-7.44643,-8.26545,1.06306,10.7391,-18.4153,-24.5758,4.26026,-7.47744,-5.89150
23,28873,0.829721, 0.857041, 1.33012, 0.444019, -3.64355,6.29440,6.58101,-7.07761,-0.489641,-11.4872,16.0584,0.319549,-4.88179,3.16842,13.2864,-5.22118,-2.86484,-1.69148,5.26682,-5.33890,4.08216,6.85357,7.98053,-0.776899,0.113326,-5.82293,16.3134,0.430427,3.31373,-9.18304,11.0442,5.76781,-0.362848,-7.74697,-0.338190,22.3277,51.9392,45.4678,3.41094,2.33904,10.3501,-6.49123,-2.13971,2.58023,3.36117,27.5659,10.7359,18.6513,4.09453,-6.81457,-3.81609,-11.2138,-14.5750,-10.5536,22.1703,1.66179,-7.79277,4.74900,-4.33628,-16.6155,3.28515,10.5186,-13.9774,-20.5293,8.77047,0.332380,-5.50284
24,13879,0.747215, 0.782740, 1.27302, 0.480035, -8.02528,15.9685,5.77034,3.49317,-8.36520,1.53422,8.86511,17.4167,-9.51788,12.5781,5.22715,10.8290,-9.41156,-2.85338,-0.0592252,10.0236,7.32976,30.3989,15.4173,12.4814,-2.55012,12.6855,18.4977,24.1125,2.86853,9.54404,16.8685,11.7961,0.712799,4.86905,-0.720904,21.8943,31.8341,46.4064,8.34895,9.90710,7.95695,2.44979,-7.12660,-3.63930,4.79409,11.7844,7.59329,19.6402,10.4678,3.96075,9.01507,-5.67915,-16.2630,-8.66984,12.6883,7.02210,1.29179,1.26636,-5.39636,-11.0236,-5.20072,13.6423,-17.5335,-28.3043,2.49119,-6.89567,-4.03528
25,123646,0.871843, 0.891714, 1.37467, 0.359038, -8.02397,-2.72913,0.732086,4.79139,-7.45641,-7.68018,-1.60480,3.29966,-12.6518,0.983105,-3.76195,9.91892,-9.37771,1.51183,-7.26333,-2.83704,3.09306,17.2995,-1.78699,-2.81667,-11.8873,-7.93501,0.230509,-3.22183,-3.91793,-0.852268,0.444134,7.29099,-3.05056,-8.45052,-7.99948,-1.26179,22.3892,40.5031,2.32850,12.5915,7.56717,4.73171,-1.48732,-1.18398,-2.10305,13.5511,6.89019,7.19808,4.14114,-5.83059,0.155423,-2.99062,-15.0353,-12.4672,16.8807,11.8337,9.95810,7.79697,-5.23438,-10.1131,-0.690335,11.5597,-15.7705,-19.3540,7.83734,-9.65297,-4.22619
26,71134,0.915627, 0.927175, 1.42755, 0.223033, -16.2689,-5.93420,-2.68621,6.68531,-13.4589,-6.00779,-2.24412,-0.519354,-19.3524,-4.47098,-6.99276,4.28003,-15.4772,2.45866,-12.1256,-8.38850,-3.47661,3.24341,-1.42706,-8.78392,-18.7107,-15.3417,-6.73980,-4.35933,-10.5520,-9.58720,-0.106695,-2.75566,-11.6437,-9.26339,-17.1971,-0.503831,13.0465,19.2230,-7.52975,12.8426,2.91906,-3.80242,4.67625,10.8745,-2.49488,8.95052,9.05247,2.05652,-1.65317,-1.32361,-0.531065,-0.121744,-8.61765,-3.57643,17.5238,9.43415,8.49132,3.61307,-9.26209,-11.2668,0.200514,4.12621,-13.4089,-22.7665,4.37461,-20.4167,-8.63597
27,32217,0.817724, 0.843530, 1.25693, 0.233998, -13.8377,-4.69896,-3.86352,4.97643,-15.6078,-13.7921,-2.08232,-3.88169,-15.0740,-0.888520,-3.99506,7.64717,-11.5639,6.37919,-6.69849,-14.4614,-3.23239,-3.54399,-2.11547,-9.99579,-18.1798,-19.5537,-3.97271,-5.23698,-8.24291,-11.3152,-4.30776,-2.39139,-9.10620,-11.6021,-13.1373,-2.20881,14.6656,18.6042,-9.59345,12.9062,4.18090,1.17925,5.13129,6.48128,-2.60224,5.11039,7.71383,-3.22959,-3.33620,2.93100,-0.353479,1.59080,-8.67590,-5.88293,15.3868,9.44258,8.24042,8.30881,-6.90472,-9.70816,1.81647,3.51817,-13.6443,-18.5624,0.782298,-29.7282,-11.8244
28,20785,0.864082, 0.883300, 1.42495, 0.345137, -7.68584,-8.19086,1.02592,8.89525,-14.7803,-27.3800,-6.67368,-3.43698,-10.7786,-7.77286,-6.79504,12.4845,-10.2204,8.27230,-3.88189,-19.2818,-0.522957,0.520216,-1.52899,-9.67451,-15.9302,-15.9188,-1.48852,-1.14490,-9.31893,-17.5998,-5.39153,-5.61312,-6.43295,-10.8104,-11.3082,-1.83611,17.0138,24.5634,-6.44895,17.6104,4.16228,3.03751,6.88442,2.71967,-0.881805,6.62322,9.70064,1.89480,-2.66735,7.42576,-1.48976,-3.75022,-13.1294,-5.23001,14.7900,11.9757,10.0047,9.83260,-6.32265,-9.97714,2.79007,-0.213414,-14.3986,-21.3010,1.26652,-25.2371,-9.51111
